Address,Price,Link
"41185 Mackenzie Ln, Indio, CA 92203","$469,900",https://www.zillow.com/homedetails/41185-Mackenzie-Ln-Indio-CA-92203/63175493_zpid/
"45763 Klamath Ct, Temecula, CA 92592","$598,900",https://www.zillow.com/homedetails/45763-Klamath-Ct-Temecula-CA-92592/69289393_zpid/
"4269 Barryknoll Dr, Los Angeles, CA 90065","$1,368,800",https://www.zillow.com/homedetails/4269-Barryknoll-Dr-Los-Angeles-CA-90065/68978704_zpid/
"34 Vista Palermo, Lake Elsinore, CA 92532","$613,900",https://www.zillow.com/homedetails/34-Vista-Palermo-Lake-Elsinore-CA-92532/17937161_zpid/
"1305 Julie Ct, Redlands, CA 92374","$560,200",https://www.zillow.com/homedetails/1305-Julie-Ct-Redlands-CA-92374/17259614_zpid/
"5520 Singing Hills Dr, Las Vegas, NV 89130","$529,300",https://www.zillow.com/homedetails/5520-Singing-Hills-Dr-Las-Vegas-NV-89130/6903616_zpid/
"4690 Willowglen Way, Hemet, CA 92545","$409,900",https://www.zillow.com/homedetails/4690-Willowglen-Way-Hemet-CA-92545/54959847_zpid/
"13 Somerset, Trabuco Canyon, CA 92679","$1,298,000",https://www.zillow.com/homedetails/13-Somerset-Trabuco-Canyon-CA-92679/25619107_zpid/
"12832 Snowview Ct, Victorville, CA 92392","$436,000",https://www.zillow.com/homedetails/12832-Snowview-Ct-Victorville-CA-92392/17640541_zpid/
"12628 Rain Shadow Rd, Victorville, CA 92395","$377,900",https://www.zillow.com/homedetails/12628-Rain-Shadow-Rd-Victorville-CA-92395/17482721_zpid/
"34310 Via Buena Dr, Yucaipa, CA 92399","$551,200",https://www.zillow.com/homedetails/34310-Via-Buena-Dr-Yucaipa-CA-92399/17398640_zpid/
"6454 Churchill St, San Bernardino, CA 92407","$483,100",https://www.zillow.com/homedetails/6454-Churchill-St-San-Bernardino-CA-92407/17344523_zpid/
